company,highest_price,time,hour
BYND,104.71,5/11/2021 9:55,9
BYND,106.46,5/11/2021 10:55,10
BYND,107.69,5/11/2021 11:55,11
BYND,108.84,5/11/2021 12:55,12
BYND,110.66,5/11/2021 13:45,13
BYND,110.7,5/11/2021 14:55,14
BYND,110.7,5/11/2021 14:50,14
BYND,110.7,5/11/2021 14:45,14
BYND,110.68,5/11/2021 15:30,15
DDOG,77.04,5/11/2021 9:55,9
DDOG,77.48,5/11/2021 10:20,10
DDOG,78.61,5/11/2021 11:45,11
DDOG,78.57,5/11/2021 12:00,12
DDOG,79.1,5/11/2021 13:40,13
DDOG,78.88,5/11/2021 14:25,14
DDOG,78.75,5/11/2021 15:50,15
FB,303.86,5/11/2021 9:55,9
FB,303.87,5/11/2021 10:00,10
FB,305.84,5/11/2021 11:35,11
FB,306.59,5/11/2021 12:05,12
FB,306.59,5/11/2021 15:00,12
FB,306.46,5/11/2021 13:40,13
FB,306.83,5/11/2021 15:20,14
FB,306.83,5/11/2021 14:25,14
FB,306.84,5/11/2021 15:25,15
NFLX,492.12,5/11/2021 9:55,9
NFLX,492.27,5/11/2021 10:00,10
NFLX,495.33,5/11/2021 11:35,11
NFLX,495.97,5/11/2021 14:35,12
NFLX,495.97,5/11/2021 12:05,12
NFLX,495.97,5/11/2021 14:15,12
NFLX,496.82,5/11/2021 13:25,13
NFLX,497.99,5/11/2021 14:25,14
NFLX,496.67,5/11/2021 15:25,15
NFLX,496.67,5/11/2021 15:50,15
OKTA,231.46,5/11/2021 9:50,9
OKTA,231.46,5/11/2021 10:50,9
OKTA,231.82,5/11/2021 10:00,10
OKTA,239.23,5/11/2021 11:50,11
OKTA,238.73,5/11/2021 12:15,12
OKTA,240.53,5/11/2021 13:20,13
OKTA,239.5,5/11/2021 13:00,14
OKTA,239.5,5/11/2021 14:25,14
OKTA,238.21,5/11/2021 15:15,15
PINS,58.78,5/11/2021 9:55,9
PINS,58.66,5/11/2021 10:05,10
PINS,58.66,5/11/2021 10:00,10
PINS,59.49,5/11/2021 11:55,11
PINS,59.81,5/11/2021 12:15,12
PINS,60.03,5/11/2021 13:35,13
PINS,60.2,5/11/2021 14:50,14
PINS,60.34,5/11/2021 15:45,15
SHOP,1076.58,5/11/2021 9:55,9
SHOP,1076.5,5/11/2021 10:00,10
SHOP,1104.3,5/11/2021 11:30,11
SHOP,1101.4,5/11/2021 12:00,12
SHOP,1117.99,5/11/2021 13:45,13
SHOP,1116,5/11/2021 14:50,14
SHOP,1121.59,5/11/2021 15:20,15
SNAP,52.64,5/11/2021 9:55,9
SNAP,52.63,5/11/2021 10:00,10
SNAP,52.25,5/11/2021 11:55,11
SNAP,52.55,5/11/2021 12:00,12
SNAP,52.67,5/11/2021 13:35,13
SNAP,53.27,5/11/2021 14:50,14
SNAP,53.65,5/11/2021 15:45,15
SQ,215.51,5/11/2021 9:55,9
SQ,215.5,5/11/2021 10:00,10
SQ,219.94,5/11/2021 11:55,11
SQ,219.94,5/11/2021 14:10,11
SQ,221.47,5/11/2021 12:10,12
SQ,221.78,5/11/2021 13:35,13
SQ,221.4,5/11/2021 14:25,14
SQ,221.4,5/11/2021 14:30,14
SQ,221.04,5/11/2021 13:45,15
SQ,221.04,5/11/2021 15:55,15
TTD,494.84,5/11/2021 9:40,9
TTD,490.9,5/11/2021 10:00,10
TTD,494.5,5/11/2021 11:50,11
TTD,491.44,5/11/2021 12:00,12
TTD,497.22,5/11/2021 13:35,13
TTD,508.67,5/11/2021 14:45,14
TTD,515.53,5/11/2021 15:50,15
